usuario_id,plataforma,marca,modelo,versao_app
0001e65d-6221-489c-bbce-7180eb0ba458,iOS,Apple,iPhone SE,1
00696cf2-ee56-4975-8b21-f9aeb1e28f38,Android,LG,Wing,1.1
00acae25-1a99-41ed-8def-326cc6c76306,iOS,Apple,iPhone SE,2
00e6d374-5351-446e-bccc-bfd73fac9eb7,Android,Motorola,Moto Edge,1
00fc1b38-a695-434a-944c-68e7776ed3ae,iOS,Apple,iPhone 13,1
01394037-c58c-4afb-a570-6e83f5ddfb7f,Android,Motorola,Moto G Stylus,2
014811dd-26cd-4cc3-b415-6bff047c53d8,Android,Xiaomi,Redmi Note 10,1.1
01d21807-1c46-449d-9b71-23869de64faa,Android,Motorola,Moto G Power,1
02b78f2f-b580-48af-ae92-b663f1f72fca,Android,LG,K51,2
02e8d6ac-85db-47ce-9b65-db7d1a14d1d7,iOS,Apple,iPhone 12,1
03f41dc8-cd6f-4a53-80ee-5aee88398ba0,iOS,Apple,iPhone 12,1.2
0414f776-0d55-44b0-a028-fadcecdb42a6,iOS,Apple,iPhone 13,1.2
04225de8-494c-4581-9ca1-e2237c60f7e3,iOS,Apple,iPhone SE,1.2
04738dee-defc-4bb6-b950-d23b3bdb8514,Android,LG,Wing,1.2
04d72822-52c6-4bf2-8598-7c69a9efa826,iOS,Apple,iPhone 12,1.2
04ea544b-985d-4746-9ead-336a069cc874,Android,Samsung,Galaxy S21,1
0536ab96-3755-4b77-9f7e-652b98c27427,iOS,Apple,iPhone 12,2
05fcc3e4-cad8-415a-8f82-1c98646c427e,Android,Xiaomi,Redmi Note 10,2
06a1cbb5-b993-47e3-89d3-e84b19e3c0c8,iOS,Apple,iPhone 13,1
06e408b5-de12-4db3-bfd8-a525a14bebf6,iOS,Apple,iPhone 12,1
07a87909-6be5-47ec-9b53-eaecee8541ce,Android,LG,K51,1.1
08005ff2-f72b-4d3d-a6c9-2ac60bf4292a,Android,Xiaomi,Redmi Note 10,1.2
08141c42-a3bf-4ff0-887e-bfe7515aaffb,Android,Motorola,Moto G Power,1.1
0858848a-dab6-46ed-9339-73d9b6f22627,Android,LG,Velvet,1.1
0886a57d-2316-49c1-b222-3c037a57829e,iOS,Apple,iPhone SE,1.2
089fceaf-3c59-4b8c-a84b-968ba0a44000,Android,Motorola,Moto G Power,1.1
08f613a6-0b8f-46b4-b3ca-6e693781c492,Android,Samsung,Galaxy S21,2
090203a5-1ab5-45d7-98b3-226871c7e394,Android,Samsung,Galaxy M32,2
091775d7-c3ef-40f6-897d-271ca1282040,Android,Motorola,Moto G Stylus,1.1
093ad6ec-aec4-473f-bae2-0fe08c594472,iOS,Apple,iPhone SE,1.1
095149c9-5f5f-45b1-a639-3c1d153e7976,iOS,Apple,iPhone 12,1.2
099b21d4-91af-4b90-adb7-ae6bdc4f43c8,iOS,Apple,iPhone 12,1.2
0a2bb9fe-230c-472f-a4ad-1151bd4ba345,iOS,Apple,iPhone 13,2
0a375da9-4359-43be-9046-993504cdd3f9,Android,Xiaomi,Redmi Note 10,1.1
0a7150b8-9b47-4d9c-a3ee-7acade671616,Android,Motorola,Moto G Stylus,1
0a761424-25fa-49f0-9d36-43db9b9f80b6,iOS,Apple,iPhone 13,1.1
0ad4052d-aa71-4627-b1be-634a86eefa51,Android,Motorola,Moto Edge,2
0adfe8c6-00a1-420c-a191-e6719d2d57e7,Android,LG,K51,1
0b079f8a-c816-429c-939e-06e53fac8dbd,iOS,Apple,iPhone 13,1
0b9d10a3-a88b-4e76-88e3-4f5aef6d6984,iOS,Apple,iPhone 12,1.1
0be1e4f1-d555-495c-ab1c-039f9bc8e296,iOS,Apple,iPhone 13,1.2
0bfc76f2-f3f5-4092-8869-6326d3369020,Android,Samsung,Galaxy A52,1.2
